survey_year,gender,age,citizenship_status,place_birth,parent_nativity,immigrant_generation,hispanic_origin,language_home,political_party,education,income,employment,marital_status,religion,geography,immigration_attitude,political_trust,vote_intention
2002,NA,28,1,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,72,1,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,36,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,45,2,1,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,35,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,2,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,24,1,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,53,1,1,NA,1,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,40,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,24,1,2,1,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,24,1,2,1,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,36,1,2,NA,3,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,48,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,78,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,49,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,19,2,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,32,2,1,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,48,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,20,1,2,1,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,54,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,73,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,24,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,52,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,65,1,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,57,NA,1,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,62,1,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,25,1,2,3,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,35,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,52,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,19,1,1,NA,1,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,20,1,2,1,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,1,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,21,1,2,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,33,1,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,29,1,1,NA,1,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,40,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,32,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,80,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,23,1,2,1,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,41,1,1,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,31,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,48,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,1,2,2,2,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,70,1,1,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,56,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,49,1,2,NA,3,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,72,1,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,40,1,2,NA,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,36,2,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,34,1,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,71,1,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,70,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,24,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,22,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,46,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,67,1,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,25,2,1,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,37,1,2,2,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,68,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,41,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,75,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,65,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,2,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,33,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,67,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,29,2,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,64,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,43,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,37,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,32,1,2,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,2,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,40,1,2,1,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,50,1,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,33,1,2,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,28,2,1,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,1,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,21,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,49,1,2,NA,3,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,60,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,62,1,2,3,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,42,1,2,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,41,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,33,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,29,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,40,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,48,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,42,1,2,3,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,58,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,67,1,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,67,1,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,42,1,2,1,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,36,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,53,1,2,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,20,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,29,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,48,1,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,56,1,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,68,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,1,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,22,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,58,2,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,31,1,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,53,1,1,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,1,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,20,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,37,1,2,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,31,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,2,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,46,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,52,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,35,2,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,36,2,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,59,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,33,2,1,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,73,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,43,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,67,1,1,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,31,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,35,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,60,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,51,1,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,36,1,1,NA,1,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,52,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,58,1,2,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,40,1,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,19,2,1,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,25,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,33,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,37,1,2,2,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,24,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,28,1,2,3,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,50,1,2,2,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,42,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,23,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,90,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,65,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,28,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,52,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,26,2,1,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,40,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,2,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,40,2,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,34,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,58,1,2,NA,3,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,43,1,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,23,2,1,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,50,1,1,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,59,1,1,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,24,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,42,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,46,1,2,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,41,2,1,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,50,1,1,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,54,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,1,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,43,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,41,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,43,2,1,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,22,1,2,1,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,49,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,1,1,NA,1,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,57,1,2,2,2,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,62,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,51,1,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,24,1,2,1,2,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,65,1,2,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,63,1,2,NA,3,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,56,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,28,1,2,NA,3,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,21,1,2,2,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,23,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,39,1,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,61,1,1,NA,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,22,1,2,1,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,50,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,35,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,1,2,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,1,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,35,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,42,2,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,24,1,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,72,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,43,1,1,NA,1,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,33,1,2,1,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,21,1,2,1,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,47,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,33,1,2,NA,3,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,50,1,2,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,52,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,25,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,1,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,76,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,20,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,52,1,1,NA,1,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,25,2,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,36,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,1,2,NA,3,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,39,1,2,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,3,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,37,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,24,1,2,2,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,26,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,29,1,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,31,2,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,1,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,68,1,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,70,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,24,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,42,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,40,1,1,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,41,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,44,1,1,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,25,1,1,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,50,1,2,1,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,26,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,34,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,77,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,43,1,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,34,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,1,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,28,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,2,1,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,45,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,67,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,25,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,64,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,1,2,1,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,60,1,1,NA,1,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,1,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,63,1,1,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,47,1,2,3,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,24,1,2,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,58,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,1,2,1,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,2,1,NA,1,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,19,1,2,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,19,1,2,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,67,1,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,52,2,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,63,1,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,39,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,1,2,NA,3,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,25,1,2,2,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,22,1,2,1,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,2,1,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
